,gene_name,chr,orientation,start,end,goi,locus_name,tair_name,object_name,relationship,ontology,go_id,tair_id,Aspect,goslim,evidence_code,evidence_description,evidence_with,reference,annotator,date,set
11,TAF13,1,F,580625,582310,False,AT1G02680,locus:2196040,AT1G02680,acts upstream of or within,seed development,GO:0048316,18540,P,post-embryonic development,IMP,analysis of visible trait,NONE,Publication:501754034|PMID:23506837  ,TAIR,2013-04-22,2
12,TAF13,1,F,580625,582310,False,AT1G02680,locus:2196040,AT1G02680,acts upstream of or within,endosperm development,GO:0009960,13684,P,post-embryonic development,IMP,analysis of visible trait,NONE,Publication:501754034|PMID:23506837  ,TAIR,2013-04-22,2
13,TAF13,1,F,580625,582310,False,AT1G02680,locus:2196040,AT1G02680,acts upstream of or within,endosperm development,GO:0009960,13684,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501754034|PMID:23506837  ,TAIR,2013-04-22,2
14,TAF13,1,F,580625,582310,False,AT1G02680,locus:2196040,AT1G02680,acts upstream of or within,endosperm development,GO:0009960,13684,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501754034|PMID:23506837  ,TAIR,2013-04-22,2
15,TAF13,1,F,580625,582310,False,AT1G02680,locus:2196040,AT1G02680,acts upstream of or within,seed development,GO:0048316,18540,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501754034|PMID:23506837  ,TAIR,2013-04-22,2
16,TAF13,1,F,580625,582310,False,AT1G02680,locus:2196040,AT1G02680,acts upstream of or within,seed development,GO:0048316,18540,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501754034|PMID:23506837  ,TAIR,2013-04-22,2
17,CRU2,1,F,985751,988146,False,AT1G03880,locus:2024234,AT1G03880,involved in,seed maturation,GO:0010431,27133,P,anatomical structure development,IDA,none,,Publication:501682551|PMID:12417707  ,,2021-03-31,2
18,CRU2,1,F,985751,988146,False,AT1G03880,locus:2024234,AT1G03880,involved in,seed maturation,GO:0010431,27133,P,multicellular organism development,IDA,none,,Publication:501682551|PMID:12417707  ,,2021-03-31,2
19,CRU2,1,F,985751,988146,False,AT1G03880,locus:2024234,AT1G03880,involved in,seed maturation,GO:0010431,27133,P,post-embryonic development,IDA,none,,Publication:501682551|PMID:12417707  ,,2021-03-31,2
20,AT1G03890,1,F,989198,991020,False,AT1G03890,locus:2024219,AT1G03890,involved in,seed maturation,GO:0010431,27133,P,post-embryonic development,IDA,none,,Publication:501682551|PMID:12417707  ,,2021-03-31,2
21,AT1G03890,1,F,989198,991020,False,AT1G03890,locus:2024219,AT1G03890,involved in,seed maturation,GO:0010431,27133,P,anatomical structure development,IDA,none,,Publication:501682551|PMID:12417707  ,,2021-03-31,2
22,AT1G03890,1,F,989198,991020,False,AT1G03890,locus:2024219,AT1G03890,involved in,seed maturation,GO:0010431,27133,P,multicellular organism development,IDA,none,,Publication:501682551|PMID:12417707  ,,2021-03-31,2
23,SOK1,1,R,1662370,1664398,False,AT1G05577,locus:504956226,AT1G05577,involved in,plant organ morphogenesis,GO:1905392,52613,P,multicellular organism development,IMP,none,,Publication:501783868|PMID:30737509  ,,2021-03-31,1
24,SOK1,1,R,1662370,1664398,False,AT1G05577,locus:504956226,AT1G05577,involved in,plant organ morphogenesis,GO:1905392,52613,P,anatomical structure development,IMP,none,,Publication:501783868|PMID:30737509  ,,2021-03-31,1
25,JMJ16,1,F,2736774,2743758,False,AT1G08620,locus:2025635,AT1G08620,acts upstream of or within,plant organ development,GO:0099402,51097,P,anatomical structure development,IMP,none,,Publication:501784925|PMID:31038749  ,,2024-04-19,1
26,JMJ16,1,F,2736774,2743758,False,AT1G08620,locus:2025635,AT1G08620,acts upstream of or within,plant organ development,GO:0099402,51097,P,multicellular organism development,IMP,none,,Publication:501784925|PMID:31038749  ,,2024-04-19,1
27,ECH,1,R,3012762,3015091,False,AT1G09330,locus:2203023,AT1G09330,involved in,plant organ development,GO:0099402,51097,P,multicellular organism development,IMP,none,,Publication:501755968|PMID:23832588  ,,2021-03-31,1
28,ECH,1,R,3012762,3015091,False,AT1G09330,locus:2203023,AT1G09330,involved in,plant organ development,GO:0099402,51097,P,anatomical structure development,IMP,none,,Publication:501755968|PMID:23832588  ,,2021-03-31,1
29,PIF3,1,F,3076582,3079539,False,AT1G09530,locus:2012345,AT1G09530,involved in,regulation of plant organ morphogenesis,GO:1905421,52632,P,multicellular organism development,IMP,none,,Publication:501787014|PMID:31638649  ,,2021-11-11,1
30,PIF3,1,F,3076582,3079539,False,AT1G09530,locus:2012345,AT1G09530,involved in,regulation of plant organ morphogenesis,GO:1905421,52632,P,anatomical structure development,IMP,none,,Publication:501787014|PMID:31638649  ,,2021-11-11,1
31,SUB,1,F,3722857,3727450,False,AT1G11130,locus:2202084,AT1G11130,acts upstream of or within,plant ovule development,GO:0048481,19033,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501716297|PMID:15951420  ,TAIR,2005-08-26,1
32,SUB,1,F,3722857,3727450,False,AT1G11130,locus:2202084,AT1G11130,acts upstream of or within,plant ovule development,GO:0048481,19033,P,flower development,IMP,analysis of visible trait,NONE,Publication:501716297|PMID:15951420  ,TAIR,2005-08-26,1
33,SUB,1,F,3722857,3727450,False,AT1G11130,locus:2202084,AT1G11130,acts upstream of or within,plant ovule development,GO:0048481,19033,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501716297|PMID:15951420  ,TAIR,2005-08-26,1
34,SRS,1,F,4003846,4006739,False,AT1G11870,locus:2008865,AT1G11870,acts upstream of or within,plant ovule development,GO:0048481,19033,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501718049|PMID:16297076  ,TAIR,2005-12-19,1
35,SRS,1,F,4003846,4006739,False,AT1G11870,locus:2008865,AT1G11870,acts upstream of or within,plant ovule development,GO:0048481,19033,P,flower development,IMP,analysis of visible trait,NONE,Publication:501718049|PMID:16297076  ,TAIR,2005-12-19,1
36,SRS,1,F,4003846,4006739,False,AT1G11870,locus:2008865,AT1G11870,acts upstream of or within,plant ovule development,GO:0048481,19033,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501718049|PMID:16297076  ,TAIR,2005-12-19,1
37,ESR1,1,F,4429718,4430965,False,AT1G12980,locus:2031890,AT1G12980,acts upstream of or within,plant organ morphogenesis,GO:1905392,52613,P,multicellular organism development,IMP,Analysis of overexpression/ectopic expression phenotype,NONE,Publication:1546195|PMID:11752375  ,TAIR,2016-08-29,1
38,ESR1,1,F,4429718,4430965,False,AT1G12980,locus:2031890,AT1G12980,acts upstream of or within,plant organ morphogenesis,GO:1905392,52613,P,anatomical structure development,IMP,Analysis of overexpression/ectopic expression phenotype,NONE,Publication:1546195|PMID:11752375  ,TAIR,2016-08-29,1
39,GLE1,1,R,4469181,4473213,False,AT1G13120,locus:2031835,AT1G13120,acts upstream of or within,seed development,GO:0048316,18540,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501750813|PMID:22898497  ,TAIR,2012-10-08,2
40,GLE1,1,R,4469181,4473213,False,AT1G13120,locus:2031835,AT1G13120,acts upstream of or within,seed development,GO:0048316,18540,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501750813|PMID:22898497  ,TAIR,2012-10-08,2
41,GLE1,1,R,4469181,4473213,False,AT1G13120,locus:2031835,AT1G13120,acts upstream of or within,seed development,GO:0048316,18540,P,post-embryonic development,IMP,analysis of visible trait,NONE,Publication:501750813|PMID:22898497  ,TAIR,2012-10-08,2
42,XTH28,1,R,5066636,5068645,False,AT1G14720,locus:2006857,AT1G14720,acts upstream of or within,fruit development,GO:0010154,13859,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501729580|PMID:19139039  ,TAIR,2009-02-24,1
43,XTH28,1,R,5066636,5068645,False,AT1G14720,locus:2006857,AT1G14720,acts upstream of or within,fruit development,GO:0010154,13859,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501729580|PMID:19139039  ,TAIR,2009-02-24,1
44,UBP15,1,R,5845660,5850934,False,AT1G17110,locus:2020412,AT1G17110,acts upstream of or within,fruit development,GO:0010154,13859,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501724750|PMID:18485060  ,TAIR,2008-06-14,1
45,UBP15,1,R,5845660,5850934,False,AT1G17110,locus:2020412,AT1G17110,acts upstream of or within,fruit development,GO:0010154,13859,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501724750|PMID:18485060  ,TAIR,2008-06-14,1
46,HLL,1,R,6037464,6038692,False,AT1G17560,locus:2007913,AT1G17560,involved in,plant ovule development,GO:0048481,19033,P,flower development,IMP,none,,Publication:2476|PMID:9636071   ,,2021-03-31,1
47,HLL,1,R,6037464,6038692,False,AT1G17560,locus:2007913,AT1G17560,involved in,plant ovule development,GO:0048481,19033,P,multicellular organism development,IMP,none,,Publication:2476|PMID:9636071   ,,2021-03-31,1
48,HLL,1,R,6037464,6038692,False,AT1G17560,locus:2007913,AT1G17560,involved in,plant ovule development,GO:0048481,19033,P,anatomical structure development,IMP,none,,Publication:2476|PMID:9636071   ,,2021-03-31,1
49,MYA1,1,F,6039303,6049556,False,AT1G17580,locus:2007938,AT1G17580,acts upstream of or within,fruit development,GO:0010154,13859,P,anatomical structure development,IGI,double mutant analysis,AGI_LocusCode:At5g20490,Publication:501729398|PMID:19060218  ,TAIR,2015-11-18,1
50,MYA1,1,F,6039303,6049556,False,AT1G17580,locus:2007938,AT1G17580,acts upstream of or within,fruit development,GO:0010154,13859,P,multicellular organism development,IGI,double mutant analysis,AGI_LocusCode:At5g20490,Publication:501729398|PMID:19060218  ,TAIR,2015-11-18,1
51,DA1,1,F,6662501,6666028,False,AT1G19270,locus:2202175,AT1G19270,acts upstream of or within,plant ovule morphogenesis,GO:0048482,19032,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501724754|PMID:18483219  ,TAIR,2008-06-16,1
52,DA1,1,F,6662501,6666028,False,AT1G19270,locus:2202175,AT1G19270,acts upstream of or within,plant ovule morphogenesis,GO:0048482,19032,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501724754|PMID:18483219  ,TAIR,2008-06-16,1
53,DA1,1,F,6662501,6666028,False,AT1G19270,locus:2202175,AT1G19270,acts upstream of or within,plant ovule morphogenesis,GO:0048482,19032,P,post-embryonic development,IMP,analysis of visible trait,NONE,Publication:501724754|PMID:18483219  ,TAIR,2008-06-16,1
54,DA1,1,F,6662501,6666028,False,AT1G19270,locus:2202175,AT1G19270,acts upstream of or within,seed morphogenesis,GO:0048317,18546,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501724754|PMID:18483219  ,TAIR,2008-06-16,2
55,DA1,1,F,6662501,6666028,False,AT1G19270,locus:2202175,AT1G19270,acts upstream of or within,plant ovule morphogenesis,GO:0048482,19032,P,flower development,IMP,analysis of visible trait,NONE,Publication:501724754|PMID:18483219  ,TAIR,2008-06-16,1
56,DA1,1,F,6662501,6666028,False,AT1G19270,locus:2202175,AT1G19270,acts upstream of or within,seed morphogenesis,GO:0048317,18546,P,post-embryonic development,IMP,analysis of visible trait,NONE,Publication:501724754|PMID:18483219  ,TAIR,2008-06-16,2
57,DA1,1,F,6662501,6666028,False,AT1G19270,locus:2202175,AT1G19270,acts upstream of or within,seed morphogenesis,GO:0048317,18546,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501724754|PMID:18483219  ,TAIR,2008-06-16,2
58,PDIL1-1,1,F,7645700,7648841,False,AT1G21750,locus:2036906,AT1G21750,acts upstream of or within,seed development,GO:0048316,18540,P,post-embryonic development,IMP,analysis of visible trait,NONE,Publication:501727556|PMID:18676877  ,TAIR,2008-09-30,2
59,PDIL1-1,1,F,7645700,7648841,False,AT1G21750,locus:2036906,AT1G21750,acts upstream of or within,seed development,GO:0048316,18540,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501727556|PMID:18676877  ,TAIR,2008-09-30,2
60,PDIL1-1,1,F,7645700,7648841,False,AT1G21750,locus:2036906,AT1G21750,acts upstream of or within,seed development,GO:0048316,18540,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501727556|PMID:18676877  ,TAIR,2008-09-30,2
61,AT1G23420,1,F,8317396,8319483,False,AT1G23420,locus:2028020,AT1G23420,acts upstream of or within,plant ovule development,GO:0048481,19033,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501681768|PMID:12183380  ,TAIR,2006-06-13,1
62,AT1G23420,1,F,8317396,8319483,False,AT1G23420,locus:2028020,AT1G23420,acts upstream of or within,plant ovule development,GO:0048481,19033,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501681768|PMID:12183380  ,TAIR,2006-06-13,1
63,AT1G23420,1,F,8317396,8319483,False,AT1G23420,locus:2028020,AT1G23420,involved in,plant ovule development,GO:0048481,19033,P,anatomical structure development,IBA,none,PANTHER:PTN002060082|TAIR:locus:2028020,Communication:501741973,,2021-03-31,1
64,AT1G23420,1,F,8317396,8319483,False,AT1G23420,locus:2028020,AT1G23420,involved in,plant ovule development,GO:0048481,19033,P,multicellular organism development,IBA,none,PANTHER:PTN002060082|TAIR:locus:2028020,Communication:501741973,,2021-03-31,1
65,AT1G23420,1,F,8317396,8319483,False,AT1G23420,locus:2028020,AT1G23420,acts upstream of or within,plant ovule development,GO:0048481,19033,P,flower development,IMP,analysis of visible trait,NONE,Publication:501681768|PMID:12183380  ,TAIR,2006-06-13,1
66,AT1G23420,1,F,8317396,8319483,False,AT1G23420,locus:2028020,AT1G23420,involved in,plant ovule development,GO:0048481,19033,P,flower development,IBA,none,PANTHER:PTN002060082|TAIR:locus:2028020,Communication:501741973,,2021-03-31,1
67,SEP3,1,R,8593637,8596105,False,AT1G24260,locus:2032372,AT1G24260,acts upstream of or within,plant ovule development,GO:0048481,19033,P,flower development,IMP,analysis of visible trait,NONE,Publication:501711290|PMID:14555696  ,TAIR,2006-04-25,1
68,SEP3,1,R,8593637,8596105,False,AT1G24260,locus:2032372,AT1G24260,acts upstream of or within,plant ovule development,GO:0048481,19033,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501711290|PMID:14555696  ,TAIR,2006-04-25,1
69,SEP3,1,R,8593637,8596105,False,AT1G24260,locus:2032372,AT1G24260,acts upstream of or within,plant ovule development,GO:0048481,19033,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501711290|PMID:14555696  ,TAIR,2006-04-25,1
70,OVA9,1,R,8889110,8894261,False,AT1G25350,locus:2032965,AT1G25350,acts upstream of or within,plant ovule development,GO:0048481,19033,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501718049|PMID:16297076  ,TAIR,2005-12-19,1
71,OVA9,1,R,8889110,8894261,False,AT1G25350,locus:2032965,AT1G25350,acts upstream of or within,plant ovule development,GO:0048481,19033,P,flower development,IMP,analysis of visible trait,NONE,Publication:501718049|PMID:16297076  ,TAIR,2005-12-19,1
72,OVA9,1,R,8889110,8894261,False,AT1G25350,locus:2032965,AT1G25350,acts upstream of or within,plant ovule development,GO:0048481,19033,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501718049|PMID:16297076  ,TAIR,2005-12-19,1
73,CUL3,1,F,9295736,9298541,False,AT1G26830,locus:2200670,AT1G26830,acts upstream of or within,endosperm development,GO:0009960,13684,P,multicellular organism development,IGI,double mutant analysis,NONE,Publication:501717365|PMID:16045478  ,TAIR,2006-05-10,2
74,CUL3,1,F,9295736,9298541,False,AT1G26830,locus:2200670,AT1G26830,acts upstream of or within,endosperm development,GO:0009960,13684,P,post-embryonic development,IGI,double mutant analysis,NONE,Publication:501717365|PMID:16045478  ,TAIR,2006-05-10,2
75,CUL3,1,F,9295736,9298541,False,AT1G26830,locus:2200670,AT1G26830,acts upstream of or within,endosperm development,GO:0009960,13684,P,anatomical structure development,IGI,double mutant analysis,NONE,Publication:501717365|PMID:16045478  ,TAIR,2006-05-10,2
76,NPF2.12,1,F,9400664,9403789,False,AT1G27080,locus:2205719,AT1G27080,acts upstream of or within,seed development,GO:0048316,18540,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501729438|PMID:19050168  ,TAIR,2009-01-13,2
77,NPF2.12,1,F,9400664,9403789,False,AT1G27080,locus:2205719,AT1G27080,acts upstream of or within,seed development,GO:0048316,18540,P,post-embryonic development,IMP,analysis of visible trait,NONE,Publication:501729438|PMID:19050168  ,TAIR,2009-01-13,2
78,NPF2.12,1,F,9400664,9403789,False,AT1G27080,locus:2205719,AT1G27080,acts upstream of or within,seed development,GO:0048316,18540,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501729438|PMID:19050168  ,TAIR,2009-01-13,2
79,LEC2,1,R,9896867,9899876,False,AT1G28300,locus:2032170,AT1G28300,acts upstream of or within,seed maturation,GO:0010431,27133,P,multicellular organism development,IMP,Analysis of overexpression/ectopic expression phenotype,NONE,Publication:501724106|PMID:18287041  ,TAIR,2008-03-16,2
80,LEC2,1,R,9896867,9899876,False,AT1G28300,locus:2032170,AT1G28300,acts upstream of or within,seed maturation,GO:0010431,27133,P,anatomical structure development,IMP,Analysis of overexpression/ectopic expression phenotype,NONE,Publication:501724106|PMID:18287041  ,TAIR,2008-03-16,2
81,LEC2,1,R,9896867,9899876,False,AT1G28300,locus:2032170,AT1G28300,acts upstream of or within,seed maturation,GO:0010431,27133,P,post-embryonic development,IMP,Analysis of overexpression/ectopic expression phenotype,NONE,Publication:501724106|PMID:18287041  ,TAIR,2008-03-16,2
82,AT1G28560,1,R,10038038,10041544,False,AT1G28560,locus:2018683,AT1G28560,acts upstream of or within,plant organ morphogenesis,GO:1905392,52613,P,anatomical structure development,IMP,analysis of physiological response,NONE,Publication:501682229|PMID:12232244  ,TAIR,2016-08-29,1
83,AT1G28560,1,R,10038038,10041544,False,AT1G28560,locus:2018683,AT1G28560,acts upstream of or within,plant organ morphogenesis,GO:1905392,52613,P,multicellular organism development,IMP,analysis of physiological response,NONE,Publication:501682229|PMID:12232244  ,TAIR,2016-08-29,1
84,GOA,1,F,11117993,11119785,False,AT1G31140,locus:2029539,AT1G31140,acts upstream of or within,fruit morphogenesis,GO:0048530,20948,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501738578|PMID:20598091  ,TAIR,2010-08-22,1
85,GOA,1,F,11117993,11119785,False,AT1G31140,locus:2029539,AT1G31140,acts upstream of or within,fruit morphogenesis,GO:0048530,20948,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501738578|PMID:20598091  ,TAIR,2010-08-22,1
86,GOA,1,F,11117993,11119785,False,AT1G31140,locus:2029539,AT1G31140,acts upstream of or within,fruit development,GO:0010154,13859,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501735915|PMID:20088901  ,bambrose,2010-02-04,1
87,GOA,1,F,11117993,11119785,False,AT1G31140,locus:2029539,AT1G31140,acts upstream of or within,fruit development,GO:0010154,13859,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501735915|PMID:20088901  ,bambrose,2010-02-04,1
88,KAN2,1,R,11625700,11630626,False,AT1G32240,locus:2028346,AT1G32240,acts upstream of or within,plant ovule development,GO:0048481,19033,P,multicellular organism development,IGI,double mutant analysis,AGI_LocusCode:AT5G16560,Publication:501718878|PMID:16623911  ,TAIR,2008-08-22,1
89,KAN2,1,R,11625700,11630626,False,AT1G32240,locus:2028346,AT1G32240,acts upstream of or within,plant ovule development,GO:0048481,19033,P,flower development,IGI,double mutant analysis,AGI_LocusCode:AT5G16560,Publication:501718878|PMID:16623911  ,TAIR,2008-08-22,1
90,KAN2,1,R,11625700,11630626,False,AT1G32240,locus:2028346,AT1G32240,acts upstream of or within,plant ovule development,GO:0048481,19033,P,anatomical structure development,IGI,double mutant analysis,AGI_LocusCode:AT5G16560,Publication:501718878|PMID:16623911  ,TAIR,2008-08-22,1
91,RRD2,1,F,11695611,11697896,False,AT1G32415,gene:3690810,AT1G32415.1,acts upstream of or within,plant organ morphogenesis,GO:1905392,52613,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501706885|PMID:12826624  ,TAIR,2016-08-29,1
92,RRD2,1,F,11695611,11697896,False,AT1G32415,gene:3690810,AT1G32415.1,acts upstream of or within,plant organ morphogenesis,GO:1905392,52613,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501706885|PMID:12826624  ,TAIR,2016-08-29,1
93,PKp3,1,F,11712162,11715112,False,AT1G32440,locus:2033760,AT1G32440,involved in,seed maturation,GO:0010431,27133,P,post-embryonic development,ISS,none,UniProtKB:Q9FLW9,Communication:501789215,,2021-03-31,2
94,PKp3,1,F,11712162,11715112,False,AT1G32440,locus:2033760,AT1G32440,involved in,seed maturation,GO:0010431,27133,P,multicellular organism development,ISS,none,UniProtKB:Q9FLW9,Communication:501789215,,2021-03-31,2
95,PKp3,1,F,11712162,11715112,False,AT1G32440,locus:2033760,AT1G32440,involved in,seed maturation,GO:0010431,27133,P,anatomical structure development,ISS,none,UniProtKB:Q9FLW9,Communication:501789215,,2021-03-31,2
96,AtLEA4-1,1,F,11774484,11775279,False,AT1G32560,locus:2206629,AT1G32560,acts upstream of or within,seed development,GO:0048316,18540,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501738348|PMID:20668063  ,TAIR,2011-04-01,2
97,AtLEA4-1,1,F,11774484,11775279,False,AT1G32560,locus:2206629,AT1G32560,acts upstream of or within,seed development,GO:0048316,18540,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501738348|PMID:20668063  ,TAIR,2011-04-01,2
98,AtLEA4-1,1,F,11774484,11775279,False,AT1G32560,locus:2206629,AT1G32560,acts upstream of or within,seed development,GO:0048316,18540,P,post-embryonic development,IMP,analysis of visible trait,NONE,Publication:501738348|PMID:20668063  ,TAIR,2011-04-01,2
99,SERK2,1,F,12458670,12462905,False,AT1G34210,locus:2026097,AT1G34210,involved in,plant ovule development,GO:0048481,19033,P,flower development,IGI,triple mutant analysis,"AGI_LocusCode:AT1G71830,AGI_LocusCode:AT1G34210,AGI_LocusCode: AT4G33430",Publication:501802674|PMID:36564978  ,TAIR,2023-06-28,1
100,SERK2,1,F,12458670,12462905,False,AT1G34210,locus:2026097,AT1G34210,involved in,plant ovule development,GO:0048481,19033,P,anatomical structure development,IGI,triple mutant analysis,"AGI_LocusCode:AT1G71830,AGI_LocusCode:AT1G34210,AGI_LocusCode: AT4G33430",Publication:501802674|PMID:36564978  ,TAIR,2023-06-28,1
101,SERK2,1,F,12458670,12462905,False,AT1G34210,locus:2026097,AT1G34210,involved in,plant ovule development,GO:0048481,19033,P,multicellular organism development,IGI,triple mutant analysis,"AGI_LocusCode:AT1G71830,AGI_LocusCode:AT1G34210,AGI_LocusCode: AT4G33430",Publication:501802674|PMID:36564978  ,TAIR,2023-06-28,1
102,SEU,1,F,16617129,16622049,False,AT1G43850,locus:2029137,AT1G43850,acts upstream of or within,plant ovule development,GO:0048481,19033,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501735724|PMID:20007451  ,rfranks,2010-01-26,1
103,SEU,1,F,16617129,16622049,False,AT1G43850,locus:2029137,AT1G43850,acts upstream of or within,plant ovule development,GO:0048481,19033,P,multicellular organism development,IMP,analysis of visible trait,NONE,Publication:501735724|PMID:20007451  ,rfranks,2010-01-26,1
104,SEU,1,F,16617129,16622049,False,AT1G43850,locus:2029137,AT1G43850,acts upstream of or within,plant ovule development,GO:0048481,19033,P,flower development,IMP,analysis of visible trait,NONE,Publication:501735724|PMID:20007451  ,rfranks,2010-01-26,1
105,USPL1,1,F,18246305,18247992,False,AT1G49320,locus:2010237,AT1G49320,acts upstream of or within,seed development,GO:0048316,18540,P,post-embryonic development,IMP,Analysis of overexpression/ectopic expression phenotype,NONE,Publication:501733421|PMID:19639386  ,TAIR,2009-10-16,2
106,USPL1,1,F,18246305,18247992,False,AT1G49320,locus:2010237,AT1G49320,acts upstream of or within,seed development,GO:0048316,18540,P,multicellular organism development,IMP,Analysis of overexpression/ectopic expression phenotype,NONE,Publication:501733421|PMID:19639386  ,TAIR,2009-10-16,2
107,USPL1,1,F,18246305,18247992,False,AT1G49320,locus:2010237,AT1G49320,acts upstream of or within,seed development,GO:0048316,18540,P,anatomical structure development,IMP,Analysis of overexpression/ectopic expression phenotype,NONE,Publication:501733421|PMID:19639386  ,TAIR,2009-10-16,2
108,RGE1,1,F,18424578,18426782,False,AT1G49770,locus:2012146,AT1G49770,acts upstream of or within,seed morphogenesis,GO:0048317,18546,P,anatomical structure development,IMP,analysis of visible trait,NONE,Publication:501783355|PMID:30570804  ,drmacgregor,2019-02-05,2
