locus,gene_name,chr,orientation,start,end,goi
AT1G02660,PLIP2,1,R,571955,574981,False
AT1G02670,AT1G02670,1,F,576046,580299,False
AT1G02680,TAF13,1,F,580625,582310,False
AT1G02681,AT1G02681,1,F,582413,582922,False
AT1G02690,IMPA-6,1,F,584260,587219,False
AT1G02700,AT1G02700,1,F,588329,589480,False
AT1G02710,AT1G02710,1,R,589706,589996,False
AT1G02720,GATL5,1,F,591826,594236,False
AT1G02730,CSLD5,1,R,594573,598657,False
AT1G02740,MRG2,1,R,599416,602038,False
AT1G02750,DiL-2,1,F,602497,604292,False
AT1G02760,AT1G02760,1,F,604402,604474,False
AT1G02770,AT1G02770,1,R,604873,606693,False
AT1G02780,emb2386,1,R,607808,609465,False
AT1G02790,PGA4,1,R,610391,612324,False
AT1G02800,CEL2,1,R,613216,616191,False
AT1G02810,PMEI-PME7,1,F,618265,620480,False
AT1G02813,AT1G02813,1,F,620678,621289,False
AT1G02816,AT1G02816,1,F,621461,622469,False
AT1G02820,LEA3,1,R,623765,624475,False
AT1G02830,AT1G02830,1,R,625145,625608,False
AT1G02840,SR34,1,F,626741,629819,False
AT1G02850,BGLU11,1,F,630505,633259,False
AT1G02860,NLA,1,F,635144,637262,False
AT1G02870,AT1G02870,1,R,637214,638677,False
AT1G02880,AT1G02880,1,R,642752,644903,False
AT1G02890,AT1G02890,1,R,645092,651907,False
AT1G02900,RALF1,1,R,653765,654343,False
AT1G02910,LPA1,1,R,655577,658148,False
AT1G02920,GSTF7,1,R,658657,659771,False
AT1G02930,GSTF6,1,R,661177,662456,False
AT1G02940,AT1G02940,1,R,663079,664128,False
AT1G02950,AT1G02950,1,R,665152,666452,False
AT1G02952,AT1G02952,1,F,665354,666367,False
AT1G02960,AT1G02960,1,R,666872,669837,False
AT1G02965,AT1G02965,1,R,671661,672814,False
AT1G02970,WEE1,1,F,673306,676378,False
AT1G02980,CUL2,1,F,677869,681310,False
AT1G02990,AT1G02990,1,R,681396,687315,False
AT1G03000,PEX6,1,R,687890,692560,False
AT1G03010,AT1G03010,1,F,693480,696382,False
AT1G03020,GRXS1,1,R,698207,698515,False
AT1G03022,AT1G03022,1,F,699121,699246,False
AT1G03030,AT1G03030,1,F,701478,703864,False
AT1G03040,bHLH007,1,R,703906,706631,False
AT1G03050,PICALM5A,1,F,707726,710041,False
AT1G03055,D27,1,R,710018,711803,False
AT1G03060,SPI,1,R,712473,726891,False
AT1G03070,LFG4,1,F,729901,731557,False
AT1G03080,NET1D,1,R,731611,738056,False
AT1G03090,MCCA,1,F,739679,744184,False
AT1G03100,AT1G03100,1,R,743885,746479,False
AT1G03103,LTPG19,1,F,747197,748057,False
AT1G03106,AT1G03106,1,R,748102,749034,False
AT1G03110,TRM82,1,F,749246,751963,False
AT1G03120,RAB28,1,F,752271,753140,False
AT1G03130,PSAD-2,1,R,753307,754198,False
AT1G03140,PRP18a,1,R,754371,756303,False
AT1G03150,NAA20,1,F,756414,758612,False
AT1G03160,FZL,1,F,761282,766158,False
AT1G03170,FAF2,1,F,769632,770684,False
AT1G03180,COMET,1,F,773411,775344,False
AT1G03190,UVH6,1,F,775527,780062,False
AT1G03200,AT1G03200,1,F,780602,781285,False
AT1G03210,AT1G03210,1,F,782948,784240,False
AT1G03220,SAP2,1,F,787122,788651,False
AT1G03230,SAP1,1,F,790091,791592,False
AT1G03240,AT1G03240,1,R,792222,792986,False
AT1G03250,AT1G03250,1,R,793353,795376,False
AT1G03260,AT1G03260,1,R,795532,798463,False
AT1G03270,AT1G03270,1,F,799191,802436,False
AT1G03280,AT1G03280,1,F,803035,807066,False
AT1G03290,AT1G03290,1,F,807361,810868,False
AT1G03300,ATDUF1,1,R,811033,813086,False
AT1G03310,DBE1,1,F,813471,816749,False
AT1G03320,AT1G03320,1,F,817027,817767,False
AT1G03330,LSM2,1,R,817983,819563,False
AT1G03340,AT1G03340,1,F,819662,821317,False
AT1G03350,AT1G03350,1,R,822638,824393,False
AT1G03360,RRP4,1,F,824537,826358,False
AT1G03365,AT1G03365,1,F,826569,830383,False
AT1G03370,AT1G03370,1,F,830627,835361,False
AT1G03380,ATG18G,1,F,835785,840940,False
AT1G03390,AT1G03390,1,R,841033,842418,False
AT1G03400,AT1G03400,1,R,842747,844190,False
AT1G03410,2A6,1,R,844436,847683,False
AT1G03420,AT1G03420,1,F,846664,847739,False
AT1G03430,AHP5,1,F,847873,849500,False
AT1G03440,AT1G03440,1,F,852366,854032,False
AT1G03445,BSU1,1,R,854410,859701,False
AT1G03457,BRN2,1,R,860788,864125,False
AT1G03470,NET3A,1,R,865915,867733,False
AT1G03475,LIN2,1,R,869051,871211,False
AT1G03490,NAC006,1,F,871874,872906,False
AT1G03495,AT1G03495,1,F,873184,874935,False
AT1G03502,AT1G03502,1,R,875358,875471,False
AT1G03506,AT1G03506,1,R,875518,875604,False
AT1G03510,AT1G03510,1,R,876258,877547,False
AT1G03515,AT1G03515,1,F,877648,877719,False
AT1G03520,AT1G03520,1,R,877862,880158,False
AT1G03530,NAF1,1,R,880496,883391,False
AT1G03540,AT1G03540,1,F,883782,885611,False
AT1G03545,AT1G03545,1,F,885941,887906,False
AT1G03550,SCAMP4,1,R,885623,887956,False
AT1G03560,AT1G03560,1,R,890156,892410,False
AT1G03570,AT1G03570,1,F,892514,892585,False
AT1G03580,AT1G03580,1,F,892847,894052,False
AT1G03590,AT1G03590,1,R,894254,897518,False
AT1G03600,PSB27,1,F,898876,899655,False
AT1G03610,AT1G03610,1,F,900887,903003,False
AT1G03620,ELMOD_F,1,R,904319,906186,False
AT1G03630,POR C,1,F,907642,909376,False
AT1G03640,AT1G03640,1,R,909811,909883,False
AT1G03650,AT1G03650,1,R,910023,911193,False
AT1G03660,AT1G03660,1,R,911436,911759,False
AT1G03670,AT1G03670,1,R,914222,916222,False
AT1G03680,THM1,1,R,916819,918064,False
AT1G03687,AT1G03687,1,F,918299,920507,False
AT1G03700,CASPL1C2,1,F,920950,921901,False
AT1G03710,AT1G03710,1,F,923426,924726,False
AT1G03720,AT1G03720,1,R,924996,926373,False
AT1G03730,AT1G03730,1,R,930828,931895,False
AT1G03740,AT1G03740,1,F,933512,937043,False
AT1G03743,AT1G03743,1,R,937207,937287,False
AT1G03746,AT1G03746,1,R,937401,937485,False
AT1G03750,SWI2,1,F,937920,941162,False
AT1G03760,SARL,1,R,941062,943377,False
AT1G03770,RING1B,1,F,944572,947483,False
AT1G03780,TPX2,1,R,947520,951827,False
AT1G03790,SOM,1,F,954525,956097,False
AT1G03800,ERF10,1,R,957261,957998,False
AT1G03810,AT1G03810,1,F,958759,959609,False
AT1G03820,AT1G03820,1,R,959869,960728,False
AT1G03830,GBPL1,1,R,962016,966757,False
AT1G03840,MGP,1,R,967503,970130,False
AT1G03850,GRXS13,1,R,976097,977761,False
AT1G03860,PHB2,1,R,979308,981885,False
AT1G03870,FLA9,1,R,982506,983540,False
AT1G03880,CRU2,1,F,985751,988146,False
AT1G03890,AT1G03890,1,F,989198,991020,False
AT1G03900,ABCI18,1,F,991139,993118,False
AT1G03905,ABCI19,1,F,993400,995784,False
AT1G03910,CTN,1,F,996115,1000437,False
AT1G03920,NDR2,1,F,1001321,1004383,False
AT1G03930,ADK1,1,F,1004769,1008370,False
AT1G03935,AT1G03935,1,F,1008810,1008896,False
AT1G03940,AT1G03940,1,R,1009542,1011056,False
AT1G03950,VPS2.3,1,R,1011172,1013365,False
AT1G03960,AT1G03960,1,F,1013715,1017929,False
AT1G03970,GBF4,1,F,1018100,1019247,False
AT1G03980,AT1G03980,1,R,1018570,1022108,False
AT1G03982,AT1G03982,1,R,1022251,1023719,False
AT1G03990,AT1G03990,1,F,1024847,1027616,False
AT1G04000,AT1G04000,1,R,1028106,1029119,False
AT1G04010,PSAT1,1,R,1031200,1036237,False
AT1G04020,BARD1,1,F,1036537,1040224,False
AT1G04030,AT1G04030,1,F,1040383,1042892,False
AT1G04040,AT1G04040,1,R,1042362,1043864,False
AT1G04050,SUVR1,1,R,1045598,1049297,False
AT1G04070,TOM22-I,1,R,1050553,1051186,False
AT1G04080,PRP39a,1,F,1051312,1056827,False
AT1G04090,AT1G04090,1,F,1057151,1059419,False
AT1G04100,IAA10,1,F,1059506,1061191,False
AT1G04110,SDD1,1,R,1061457,1063784,False
AT1G04120,ABCC5,1,R,1064450,1071047,False
AT1G04130,TPR2,1,F,1073427,1075568,False
AT1G04140,AT1G04140,1,R,1075543,1080630,False
AT1G04150,MCTP10,1,R,1081208,1084246,False
AT1G04160,XIB,1,F,1086495,1096146,False
AT1G04170,EIF2 GAMMA,1,F,1096946,1099898,False
AT1G04171,AT1G04171,1,R,1100444,1100608,False
AT1G04180,YUC9,1,F,1104623,1105988,False
AT1G04190,TPR3,1,R,1106428,1108715,False
AT1G04200,AT1G04200,1,F,1109482,1114107,False
AT1G04210,AT1G04210,1,F,1114405,1119739,False
AT1G04220,KCS2,1,R,1119699,1122526,False
AT1G04230,AT1G04230,1,F,1125518,1128168,False
AT1G04240,AT1G04240,1,R,1128188,1129551,False
AT1G04250,AXR3,1,F,1136258,1138613,False
AT1G04260,MPI7,1,R,1140528,1141365,False
AT1G04270,RPS15,1,R,1141604,1143053,False
AT1G04280,NADKc,1,R,1143436,1146654,False
AT1G04290,AT1G04290,1,R,1147523,1148533,False
AT1G04295,AT1G04295,1,F,1147781,1148435,False
AT1G04300,MUSE13,1,R,1148597,1154652,False
AT1G04310,ERS2,1,R,1154764,1157711,False
AT1G04320,AT1G04320,1,F,1159023,1159093,False
AT1G04330,PH2,1,R,1161311,1161982,False
AT1G04340,AT1G04340,1,R,1163097,1164851,False
AT1G04350,AT1G04350,1,F,1165165,1166768,False
AT1G04360,ATL1,1,R,1167457,1168878,False
AT1G04370,ERF14,1,F,1175177,1175578,False
AT1G04380,AT1G04380,1,R,1176921,1178407,False
AT1G04390,AT1G04390,1,R,1179363,1183704,False
AT1G04400,CRY2,1,R,1185550,1188517,False
AT1G04410,c-NAD-MDH1,1,R,1189078,1191412,False
AT1G04420,AT1G04420,1,F,1191608,1193884,False
AT1G04425,AT1G04425,1,F,1194187,1196889,False
AT1G04430,AT1G04430,1,F,1198118,1201527,False
AT1G04440,CKL13,1,F,1202255,1205803,False
AT1G04445,AT1G04445,1,F,1207344,1207862,False
AT1G04450,RIC3,1,F,1208521,1209874,False
AT1G04457,AT1G04457,1,R,1210319,1210549,False
AT1G04470,AT1G04470,1,R,1211049,1214662,False
AT1G04480,AT1G04480,1,F,1216095,1217467,False
AT1G04490,AT1G04490,1,R,1217948,1220137,False
AT1G04500,AT1G04500,1,R,1221433,1224366,False
AT1G04501,AT1G04501,1,F,1224552,1224680,False
AT1G04510,MAC3A,1,F,1226575,1230827,False
AT1G04520,PDLP2,1,F,1231578,1234032,False
AT1G04530,TPR4,1,R,1234176,1236034,False
AT1G04540,AT1G04540,1,F,1237256,1239061,False
AT1G04550,IAA12,1,F,1240375,1242121,False
AT1G04555,AT1G04555,1,F,1242558,1244244,False
AT1G04560,AT1G04560,1,F,1244947,1246059,False
AT1G04570,AT1G04570,1,R,1246728,1248775,False
AT1G04580,AO4,1,R,1252122,1257510,False
AT1G04590,AT1G04590,1,R,1258577,1261426,False
AT1G04600,XIA,1,F,1262123,1272376,False
AT1G04610,YUC3,1,F,1279388,1281618,False
AT1G04620,HCAR,1,R,1282741,1286584,False
AT1G04625,AT1G04625,1,R,1287831,1289820,False
AT1G04630,MEE4,1,R,1289734,1291112,False
AT1G04635,EMB1687,1,F,1291314,1291995,False
AT1G04640,LIP2,1,F,1292080,1293357,False
AT1G04645,AT1G04645,1,R,1293770,1294263,False
AT1G04650,FLIP,1,R,1294893,1299002,False
AT1G04660,AT1G04660,1,R,1300486,1301773,False
AT1G04670,AT1G04670,1,F,1301861,1302724,False
AT1G04680,AT1G04680,1,R,1303529,1307884,False
AT1G04684,AT1G04684,1,R,1310430,1310579,False
AT1G04690,KAB1,1,F,1313564,1315750,False
AT1G04700,RAF16,1,F,1316254,1320919,False
AT1G04710,PKT4,1,F,1321904,1324782,False
AT1G04720,AT1G04720,1,F,1324923,1324960,False
AT1G04730,CTF18,1,R,1325296,1331086,False
AT1G04750,VAMP721,1,R,1331466,1333567,False
AT1G04760,VAMP726,1,F,1334760,1336070,False
AT1G04770,SDI2,1,R,1336371,1337849,False
AT1G04778,AT1G04778,1,F,1339892,1340327,False
AT1G04780,AT1G04780,1,R,1340669,1343584,False
AT1G04790,AT1G04790,1,F,1345036,1348451,False
AT1G04800,AT1G04800,1,R,1348452,1349286,False
AT1G04810,AT1G04810,1,F,1350180,1355442,False
AT1G04820,TUA4,1,R,1356191,1358386,False
AT1G04830,AT1G04830,1,R,1358574,1362019,False
AT1G04840,AT1G04840,1,R,1362867,1364962,False
AT1G04850,AT1G04850,1,R,1365118,1368844,False
AT1G04860,UBP2,1,R,1369054,1373101,False
AT1G04870,PRMT10,1,R,1373234,1375762,False
AT1G04880,HMGBD15,1,R,1375961,1379185,False
AT1G04890,MyoB15,1,R,1380382,1382599,False
AT1G04900,AT1G04900,1,F,1383841,1387895,False
AT1G04910,AT1G04910,1,R,1387871,1391187,False
AT1G04920,SPS3F,1,R,1391502,1395864,False
AT1G04930,LIN37A,1,R,1396291,1399053,False
AT1G04940,Tic20-I,1,F,1399182,1400770,False
AT1G04945,AT1G04945,1,F,1399174,1403112,False
AT1G04950,TAFII59,1,R,1403085,1407501,False
AT1G04960,AT1G04960,1,R,1407801,1410868,False
AT1G04970,LBR-1,1,F,1411170,1413627,False
AT1G04980,PDIL2-2,1,R,1413644,1416144,False
AT1G04985,AT1G04985,1,R,1416343,1418482,False
AT1G04990,AtC3H3,1,R,1419080,1421789,False
AT1G05000,PFA-DSP1,1,F,1425593,1428782,False
AT1G05010,EFE,1,R,1431190,1432858,False
AT1G05020,AP180,1,R,1435254,1437667,False
AT1G05030,AT1G05030,1,R,1438152,1441417,False
AT1G05040,AT1G05040,1,R,1447369,1448448,False
AT1G05055,GTF2H2,1,R,1448718,1450887,False
AT1G05060,AT1G05060,1,R,1451030,1452872,False
AT1G05061,AT1G05061,1,R,1453216,1454260,False
AT1G05065,CLE20,1,R,1454969,1455220,False
AT1G05070,ELMO2,1,R,1457063,1458744,False
AT1G05080,AT1G05080,1,F,1459091,1460579,False
AT1G05085,AT1G05085,1,F,1460988,1461670,False
AT1G05090,AT1G05090,1,F,1463202,1465622,False
AT1G05100,MAPKKK18,1,F,1469610,1470881,False
AT1G05120,AT1G05120,1,R,1471406,1476078,False
AT1G05135,AT1G05135,1,R,1477500,1478821,False
AT1G05136,AT1G05136,1,F,1478923,1479063,False
AT1G05140,AT1G05140,1,F,1482548,1484056,False
AT1G05150,AT1G05150,1,R,1484067,1486960,False
AT1G05160,CYP88A3,1,R,1487378,1490947,False
AT1G05170,CAGE1,1,R,1491111,1494248,False
AT1G05180,AXR1,1,R,1498114,1501824,False
AT1G05190,EMB2394,1,R,1502344,1503830,False
AT1G05200,GLR3.4,1,F,1504960,1509152,False
AT1G05205,AT1G05205,1,R,1509103,1510281,False
AT1G05210,AT1G05210,1,F,1510404,1511683,False
AT1G05220,AT1G05220,1,F,1511907,1513573,False
AT1G05230,HDG2,1,R,1512896,1518805,False
AT1G05240,PR9,1,F,1521137,1522681,False
AT1G05250,PRX2,1,R,1525601,1527234,False
AT1G05260,RCI3,1,F,1529767,1531439,False
AT1G05270,AT1G05270,1,R,1531641,1534410,False
AT1G05280,AT1G05280,1,R,1535444,1537525,False
AT1G05290,OMG1,1,R,1539152,1540562,False
AT1G05291,AT1G05291,1,R,1541348,1542432,False
AT1G05300,ZIP5,1,R,1545106,1547849,False
AT1G05310,AT1G05310,1,R,1550543,1552517,False
AT1G05320,PICL,1,F,1553603,1557733,False
AT1G05330,AT1G05330,1,F,1558170,1558583,False
AT1G05340,AthCYSTM1,1,R,1558844,1559903,False
AT1G05350,AT1G05350,1,R,1560678,1564123,False
AT1G05360,KMS2,1,F,1564598,1567465,False
AT1G05370,AT1G05370,1,R,1569192,1572280,False
AT1G05380,AT1G05380,1,F,1576863,1582614,False
AT1G05385,LPA19,1,R,1582671,1583718,False
AT1G05390,AT1G05390,1,R,1583772,1583845,False
AT1G05400,AT1G05400,1,F,1584073,1585421,False
AT1G05410,AT1G05410,1,R,1585371,1587778,False
AT1G05420,AT1G05420,1,F,1590073,1590753,False
AT1G05430,AT1G05430,1,R,1594057,1595818,False
AT1G05440,AT1G05440,1,R,1596007,1597848,False
AT1G05450,AT1G05450,1,F,1599911,1601214,False
AT1G05460,SDE3,1,R,1601148,1605027,False
AT1G05470,CVP2,1,R,1607357,1611703,False
AT1G05490,chr31,1,R,1618602,1623452,False
AT1G05500,NTMC2T2.1,1,F,1624955,1629224,False
AT1G05510,OBAP1a,1,F,1629446,1630863,False
AT1G05520,AtSEC23B,1,R,1630900,1635711,False
AT1G05530,UGT75B2,1,R,1636496,1637863,False
AT1G05540,AtDOA1,1,F,1639286,1640811,False
AT1G05550,AtDOA2,1,R,1640959,1643917,False
AT1G05560,AT1G05560,1,R,1645498,1647147,False
AT1G05562,AT1G05562,1,F,1645875,1647162,False
AT1G05570,CALS1,1,R,1647706,1659437,False
AT1G05575,HUP17,1,R,1661691,1662187,False
AT1G05577,SOK1,1,R,1662370,1664398,False
AT1G05580,CHX23,1,R,1665433,1668904,False
AT1G05590,HEXO2,1,F,1669350,1671876,False
AT1G05600,EMB3101,1,F,1671936,1673856,False
AT1G05610,AT1G05610,1,R,1673861,1675934,False
AT1G05615,AT1G05615,1,R,1677507,1678270,False
AT1G05620,URH2,1,F,1679158,1681710,False
AT1G05630,5PTASE13,1,F,1682318,1687363,False
AT1G05640,AT1G05640,1,R,1687436,1689501,False
AT1G05650,AT1G05650,1,R,1690264,1692126,False
AT1G05660,AT1G05660,1,R,1694286,1696058,False
AT1G05670,AT1G05670,1,R,1697587,1701025,False
AT1G05675,AT1G05675,1,R,1701116,1702749,False
AT1G05680,UGT74E2,1,R,1703092,1704691,False
AT1G05690,BT3,1,F,1707011,1709347,False
AT1G05700,AT1G05700,1,F,1709796,1713245,False
AT1G05710,AT1G05710,1,F,1714950,1717276,False
AT1G05720,AT1G05720,1,R,1717447,1718909,False
AT1G05730,AT1G05730,1,F,1718555,1720303,False
AT1G05740,AT1G05740,1,F,1720674,1721309,False
AT1G05750,PDE247,1,F,1721509,1724734,False
AT1G05760,AT1G05760,1,R,1723734,1724486,False
