name	tair_object	p1	p2	x	chr
Gene:2025400	AT1G01500.1	185133	186923	F	1
Gene:2025375	AT1G01510.1	187211	190056	F	1
Gene:2025410	AT1G01520.1	190596	192139	F	1
Gene:2025385	AT1G01530.1	192640	193670	R	1
Gene:1005715535	AT1G01540.2	195780	198684	F	1
Gene:2025395	AT1G01540.1	195812	198635	F	1
Gene:2025405	AT1G01550.1	199639	201775	F	1
Gene:1009021144	AT1G01550.2	199791	201775	F	1
Gene:2025340	AT1G01560.1	202136	204335	F	1
Gene:4515100471	AT1G01560.2	202136	204189	F	1
Gene:2025415	AT1G01570.1	205176	207435	F	1
Gene:2025350	AT1G01580.1	209395	213041	F	1
Gene:2025365	AT1G01590.1	214229	217304	F	1
Gene:2025370	AT1G01600.1	218994	221286	F	1
Gene:2025380	AT1G01610.1	221691	224340	R	1
Gene:2025390	AT1G01620.1	225665	227302	R	1
Gene:4010711644	AT1G01620.2	225665	227302	R	1
Gene:2198134	AT1G01630.1	229013	230917	F	1
Gene:1005715206	AT1G01640.2	230994	232322	R	1
Gene:2198139	AT1G01640.1	230994	232508	R	1
Gene:2198154	AT1G01650.1	232841	237817	R	1
Gene:1009021086	AT1G01650.2	232841	237817	R	1
Gene:2198164	AT1G01660.1	240057	242608	R	1
Gene:2198179	AT1G01670.1	242843	245988	R	1
Gene:2198189	AT1G01680.1	246411	248367	R	1
Gene:2198199	AT1G01690.1	249141	252462	F	1
Gene:4515100472	AT1G01695.1	252947	254495	F	1
Gene:2198219	AT1G01700.1	259495	261474	R	1
Gene:2198204	AT1G01710.1	262828	267771	F	1
Gene:2198224	AT1G01720.1	268330	269819	F	1
Gene:3692209	AT1G01725.1	269792	270775	R	1
Gene:2198144	AT1G01730.1	270956	272061	F	1
Gene:2198159	AT1G01740.1	272111	274569	R	1
Gene:6530296043	AT1G01740.2	272111	274569	R	1
Gene:2198174	AT1G01750.1	275366	276310	F	1
Gene:2198184	AT1G01760.1	276266	278448	R	1
Gene:2198194	AT1G01770.1	278615	282891	F	1
Gene:2198209	AT1G01780.1	282761	284245	F	1
Gene:2198214	AT1G01790.1	284610	291094	F	1
Gene:2198229	AT1G01800.1	293342	295040	F	1
Gene:4010711645	AT1G01800.2	293342	295040	F	1
Gene:2198239	AT1G01810.1	295221	295859	F	1
Gene:2198149	AT1G01820.1	296001	298120	R	1
Gene:2198234	AT1G01830.1	298535	300729	R	1
Gene:4010711646	AT1G01830.2	298535	300846	R	1
Gene:4010711647	AT1G01830.3	298535	302315	R	1
Gene:2198169	AT1G01840.1	303537	304358	F	1
Gene:3433079	AT1G01860.1	304133	306287	R	1
Gene:1005715531	AT1G01870.1	306384	306456	F	1
Gene:2025446	AT1G01880.1	306480	309109	R	1
Gene:6530296044	AT1G01880.2	306480	309109	R	1
Gene:1005715532	AT1G01890.1	309275	309347	R	1
Gene:2025456	AT1G01900.1	310316	313130	F	1
Gene:4010711648	AT1G01910.4	313101	315902	R	1
Gene:1009021051	AT1G01910.3	313210	315902	R	1
Gene:2025466	AT1G01910.1	313215	315902	R	1
Gene:1005715533	AT1G01910.2	313229	315902	R	1
Gene:4515100473	AT1G01910.5	313229	315902	R	1
Gene:1009021050	AT1G01920.2	316128	319650	F	1
Gene:2025476	AT1G01920.1	316187	319644	F	1
Gene:2025486	AT1G01930.1	319836	322860	R	1
Gene:2025491	AT1G01940.1	323027	324917	F	1
Gene:2025496	AT1G01950.1	325379	330619	F	1
Gene:5019473858	AT1G01950.2	325379	330619	F	1
Gene:5019473859	AT1G01950.3	325379	330619	F	1
Gene:2025501	AT1G01960.1	330588	337582	R	1
Gene:2025441	AT1G01970.1	338291	340077	F	1
Gene:2025451	AT1G01980.1	340172	341999	R	1
Gene:2025461	AT1G01990.1	343166	344341	R	1
Gene:2025471	AT1G02000.1	345812	347592	F	1
Gene:3435890	AT1G02010.1	347891	352480	F	1
Gene:6530296045	AT1G02010.2	347974	352303	F	1
Gene:2205638	AT1G02020.1	352637	354969	R	1
Gene:1006229984	AT1G02020.2	352637	354969	R	1
Gene:2205648	AT1G02030.1	355321	357258	R	1
Gene:2205582	AT1G02040.1	358104	359078	R	1
Gene:2205587	AT1G02050.1	359117	360518	R	1
Gene:2205608	AT1G02060.1	360918	363094	R	1
Gene:504953949	AT1G02065.1	365209	367340	F	1
Gene:1006229981	AT1G02065.2	365567	367340	F	1
Gene:2205577	AT1G02070.1	370257	370967	R	1
Gene:4515100474	AT1G02074.1	372064	372210	F	1
Gene:2205613	AT1G02080.1	373335	386847	F	1
Gene:6530296046	AT1G02080.2	373501	386846	F	1
Gene:2205592	AT1G02090.1	387277	389647	R	1
Gene:1005027846	AT1G02090.2	387278	389647	R	1
Gene:1006229980	AT1G02090.3	387281	389647	R	1
Gene:2205618	AT1G02100.1	389812	392816	F	1
Gene:1006229983	AT1G02100.2	389821	392796	F	1
Gene:1006229982	AT1G02100.3	389823	392811	F	1
Gene:2205597	AT1G02110.1	392831	395528	F	1
Gene:2205624	AT1G02120.1	395761	399897	F	1
Gene:2205602	AT1G02130.1	400035	401882	R	1
Gene:4515100475	AT1G02136.1	402693	402961	R	1
Gene:2205629	AT1G02140.1	403190	404456	R	1
Gene:4010711649	AT1G02145.1	404600	408619	F	1
Gene:4010711650	AT1G02145.2	404600	408619	F	1
Gene:4010711651	AT1G02145.3	404600	408619	F	1
Gene:4515100476	AT1G02145.4	404600	408619	F	1
Gene:3435910	AT1G02150.1	408622	410611	F	1
Gene:3435894	AT1G02160.1	410748	411597	F	1
Gene:4010711652	AT1G02160.2	410748	411597	F	1
Gene:3435926	AT1G02170.1	411779	413554	F	1
Gene:3435866	AT1G02180.1	413522	414645	R	1
Gene:3435874	AT1G02190.1	415079	418010	F	1
Gene:1006229971	AT1G02190.2	415079	418010	F	1
Gene:6530296047	AT1G02205.3	418748	422258	F	1
Gene:1005715093	AT1G02205.2	418767	422438	F	1
Gene:3435882	AT1G02205.1	418767	422437	F	1
Gene:3435898	AT1G02210.1	427548	427811	R	1
Gene:3435906	AT1G02220.1	428814	430647	R	1
Gene:4010711653	AT1G02228.1	433031	433819	R	1
Gene:3435902	AT1G02230.1	435174	436776	R	1
Gene:3435922	AT1G02250.1	437951	439559	R	1
Gene:3435914	AT1G02260.1	440441	442877	R	1
Gene:3435870	AT1G02270.1	443149	446235	R	1
Gene:3435918	AT1G02280.1	448463	450425	R	1
Gene:4515100477	AT1G02280.2	448469	450426	R	1
Gene:3435878	AT1G02290.1	450527	452737	R	1
Gene:2204872	AT1G02300.1	453288	455463	F	1
Gene:3693167	AT1G02305.1	455688	458164	F	1
Gene:2204877	AT1G02310.1	458133	460696	R	1
Gene:2204892	AT1G02320.1	461828	461974	F	1
Gene:2204887	AT1G02330.1	462075	463612	R	1
Gene:2827076	AT1G02335.1	463855	464924	R	1
Gene:2204897	AT1G02340.1	465718	467844	R	1
Gene:2204907	AT1G02350.1	469818	470693	F	1
Gene:2204917	AT1G02360.1	471990	473160	R	1
Gene:2204807	AT1G02370.1	474500	476511	F	1
Gene:2204902	AT1G02380.1	477000	478971	F	1
Gene:2204817	AT1G02390.1	480852	483292	F	1
Gene:4515100478	AT1G02391.1	483764	483919	R	1
Gene:2204822	AT1G02400.1	486801	489577	F	1
Gene:504953961	AT1G02405.1	489979	490505	R	1
Gene:2204837	AT1G02410.1	490925	492926	F	1
Gene:2204912	AT1G02420.1	493683	495158	F	1
Gene:2204847	AT1G02430.1	495050	496062	R	1
Gene:3693162	AT1G02440.1	496586	497479	R	1
Gene:3693183	AT1G02450.1	497976	498516	R	1
Gene:3693178	AT1G02460.1	504673	507204	R	1
Gene:4010711654	AT1G02470.2	511765	513611	R	1
Gene:2196164	AT1G02470.1	511765	513624	R	1
Gene:3691854	AT1G02475.1	513843	515404	R	1
Gene:1005715255	AT1G02480.1	515494	515566	F	1
Gene:2196149	AT1G02490.1	516618	516734	F	1
Gene:2196159	AT1G02500.1	518251	520437	F	1
Gene:1005027855	AT1G02500.2	518254	520437	F	1
Gene:2196154	AT1G02510.1	520498	521668	R	1
Gene:2196144	AT1G02520.1	523651	528745	F	1
Gene:2196134	AT1G02530.1	529795	534677	F	1
Gene:2196099	AT1G02540.1	534827	535699	R	1
Gene:2196129	AT1G02550.1	536483	537211	F	1
Gene:2196119	AT1G02560.1	537860	540109	F	1
Gene:2196104	AT1G02570.1	541335	542240	F	1
Gene:6530296048	AT1G02575.1	543110	544007	F	1
Gene:2196109	AT1G02580.1	544783	549202	F	1
Gene:2196094	AT1G02590.1	552138	552761	R	1
Gene:1005715254	AT1G02600.1	552640	552711	F	1
Gene:2196084	AT1G02610.1	553050	555994	R	1
Gene:2196079	AT1G02620.1	557092	557986	F	1
Gene:2196069	AT1G02630.1	560610	562424	R	1
Gene:1009021073	AT1G02630.2	560610	562382	R	1
Gene:2196059	AT1G02640.1	564205	567769	F	1
Gene:2196049	AT1G02650.1	568704	570418	F	1
Gene:2196044	AT1G02660.1	571955	574981	R	1
Gene:2196114	AT1G02670.1	576046	580299	F	1
Gene:2196039	AT1G02680.1	580625	582310	F	1
Gene:5019473860	AT1G02681.1	582413	582922	F	1
Gene:2196139	AT1G02690.1	584260	587219	F	1
Gene:1006229874	AT1G02690.2	584260	587219	F	1
Gene:2196034	AT1G02700.1	588329	589480	F	1
Gene:2196089	AT1G02710.1	589706	589996	R	1
Gene:2024739	AT1G02720.1	591826	594236	F	1
Gene:1006229875	AT1G02720.2	591826	593289	F	1
Gene:3433649	AT1G02730.1	594573	598657	R	1
Gene:3433645	AT1G02740.1	599416	602038	R	1
Gene:3433641	AT1G02750.1	602497	604292	F	1
Gene:6530296049	AT1G02750.2	602601	604272	F	1
Gene:1005715546	AT1G02760.1	604402	604474	F	1
Gene:3433657	AT1G02770.1	604873	606693	R	1
Gene:3433637	AT1G02780.1	607808	609465	R	1
Gene:3433633	AT1G02790.1	610391	612324	R	1
Gene:3433629	AT1G02800.1	613216	616191	R	1
Gene:2024749	AT1G02810.1	618265	620480	F	1
Gene:3688961	AT1G02813.1	620678	621289	F	1
Gene:3688970	AT1G02816.1	621461	622469	F	1
Gene:2024734	AT1G02820.1	623765	624475	R	1
Gene:2024714	AT1G02830.1	625145	625608	R	1
Gene:2024769	AT1G02840.1	626741	629819	F	1
Gene:1005715550	AT1G02840.3	626741	629819	F	1
Gene:1005027878	AT1G02840.2	626780	629819	F	1
Gene:1006229695	AT1G02850.4	630505	633259	F	1
Gene:1006229696	AT1G02850.3	630505	633259	F	1
Gene:2024684	AT1G02850.1	630505	633259	F	1
Gene:1005715548	AT1G02850.2	630505	633259	F	1
Gene:4515100479	AT1G02850.5	630505	633259	F	1
Gene:2024674	AT1G02860.1	635144	637262	F	1
Gene:4515100480	AT1G02860.2	635144	637262	F	1
Gene:2024664	AT1G02870.1	637214	638677	R	1
Gene:2024659	AT1G02880.1	642752	644521	R	1
Gene:1005715551	AT1G02880.2	642752	644903	R	1
Gene:1005715552	AT1G02880.3	642752	644539	R	1
Gene:4515100481	AT1G02880.4	642752	644532	R	1
Gene:2024654	AT1G02890.1	645092	651907	R	1
Gene:4515100482	AT1G02890.2	645092	651907	R	1
Gene:2024729	AT1G02900.1	653765	654343	R	1
Gene:2024719	AT1G02910.1	655577	658148	R	1
Gene:2024699	AT1G02920.1	658657	659771	R	1
Gene:2024689	AT1G02930.1	661177	662427	R	1
Gene:6530296050	AT1G02930.2	661309	662456	R	1
Gene:2024774	AT1G02940.1	663079	664128	R	1
Gene:1009021247	AT1G02950.3	665152	666451	R	1
Gene:2024764	AT1G02950.1	665168	666451	R	1
Gene:4515100483	AT1G02950.4	665168	666451	R	1
Gene:1005715547	AT1G02950.2	665168	666452	R	1
Gene:4010711655	AT1G02952.1	665354	666367	F	1
Gene:2024759	AT1G02960.1	666872	669837	R	1
Gene:1009021248	AT1G02960.3	666872	669805	R	1
Gene:1005715549	AT1G02960.2	666872	669837	R	1
Gene:504954122	AT1G02965.1	671661	672814	R	1
Gene:2024779	AT1G02970.1	673306	676378	F	1
Gene:2024754	AT1G02980.1	677869	681310	F	1
Gene:1006229694	AT1G02990.2	681396	687315	R	1
Gene:2024709	AT1G02990.1	681396	687315	R	1
Gene:6530296051	AT1G02990.3	681396	687315	R	1
Gene:3433653	AT1G03000.1	687890	692560	R	1
Gene:2007563	AT1G03010.1	693480	696382	F	1
Gene:2007553	AT1G03020.1	698207	698515	R	1
Gene:4515100484	AT1G03022.1	699121	699246	F	1
Gene:2007543	AT1G03030.1	701478	703864	F	1
Gene:2007533	AT1G03040.1	703906	706631	R	1
Gene:6530296052	AT1G03040.2	703906	706630	R	1
Gene:2007523	AT1G03050.1	707726	710041	F	1
Gene:3686019	AT1G03055.1	710018	711803	R	1
Gene:1006229525	AT1G03055.2	710063	711803	R	1
Gene:2007513	AT1G03060.1	712473	726891	R	1
Gene:6530296053	AT1G03070.2	729901	731525	F	1
Gene:2007508	AT1G03070.1	729935	731557	F	1
Gene:2007568	AT1G03080.1	731611	738056	R	1
Gene:1005715747	AT1G03090.2	739679	744184	F	1
Gene:2007558	AT1G03090.1	739679	744184	F	1
Gene:2007548	AT1G03100.1	743885	746479	R	1
Gene:1006229523	AT1G03103.1	747197	748057	F	1
Gene:1006229524	AT1G03106.1	748102	749034	R	1
Gene:2007538	AT1G03110.1	749246	751963	F	1
Gene:2007528	AT1G03120.1	752271	753140	F	1
Gene:2007518	AT1G03130.1	753307	754198	R	1
Gene:2007588	AT1G03140.1	754371	756303	R	1
Gene:2007583	AT1G03150.1	756414	758612	F	1
Gene:4010711656	AT1G03160.2	761282	766158	F	1
Gene:2007578	AT1G03160.1	761282	766153	F	1
Gene:2014559	AT1G03170.1	769632	770684	F	1
Gene:2014549	AT1G03180.1	773411	775344	F	1
Gene:1009021255	AT1G03180.2	773411	775344	F	1
Gene:2014524	AT1G03190.1	775527	780027	F	1
Gene:1005715665	AT1G03190.2	775622	780062	F	1
Gene:2014494	AT1G03200.1	780602	781285	F	1
Gene:2014484	AT1G03210.1	782948	784240	F	1
Gene:2014474	AT1G03220.1	787122	788651	F	1
Gene:2014464	AT1G03230.1	790091	791592	F	1
Gene:2014554	AT1G03240.1	792222	792986	R	1
Gene:2014544	AT1G03250.1	793353	795368	R	1
Gene:6530296054	AT1G03250.2	793359	795376	R	1
Gene:2014529	AT1G03260.1	795532	798463	R	1
Gene:2014519	AT1G03270.1	799191	802436	F	1
Gene:2014514	AT1G03280.1	803035	807066	F	1
Gene:6530296055	AT1G03290.2	807361	810868	F	1
Gene:2014539	AT1G03290.1	807396	810690	F	1
Gene:2014504	AT1G03300.1	811033	813086	R	1
Gene:2014499	AT1G03310.1	813471	816749	F	1
Gene:1006227805	AT1G03310.2	813486	816749	F	1
Gene:2014489	AT1G03320.1	817027	817767	F	1
Gene:2014479	AT1G03330.1	817983	819563	R	1
Gene:2014469	AT1G03340.1	819662	821317	F	1
Gene:2014459	AT1G03350.1	822638	824393	R	1
Gene:2014534	AT1G03360.1	824537	826358	F	1
Gene:6530296056	AT1G03365.1	826569	830383	F	1
Gene:2014509	AT1G03370.1	830627	835361	F	1
Gene:2020852	AT1G03380.1	835785	840940	F	1
Gene:2020837	AT1G03390.1	841033	842418	R	1
Gene:2020817	AT1G03400.1	842747	844190	R	1
Gene:2020797	AT1G03410.1	844436	847683	R	1
Gene:2020757	AT1G03420.1	846664	847739	F	1
Gene:2020867	AT1G03430.1	847873	849500	F	1
Gene:2020732	AT1G03440.1	852366	854032	F	1
Gene:2825041	AT1G03445.1	854410	859701	R	1
Gene:2825066	AT1G03457.1	860788	864125	R	1
Gene:1006229679	AT1G03457.2	860788	864075	R	1
Gene:1009021252	AT1G03470.2	865915	867674	R	1
Gene:2020842	AT1G03470.1	865915	867733	R	1
Gene:2825061	AT1G03475.1	869051	871211	R	1
Gene:2020802	AT1G03490.1	871874	872906	F	1
Gene:2825046	AT1G03495.1	873184	874935	F	1
Gene:1005715565	AT1G03502.1	875358	875471	R	1
Gene:1005715567	AT1G03506.1	875518	875604	R	1
Gene:2020762	AT1G03510.1	876258	877547	R	1
Gene:1005715566	AT1G03515.1	877648	877719	F	1
Gene:2020747	AT1G03520.1	877862	880158	R	1
Gene:4010711657	AT1G03520.2	877862	880158	R	1
Gene:2020712	AT1G03530.1	880496	883391	R	1
Gene:2020702	AT1G03540.1	883782	885611	F	1
Gene:2020827	AT1G03550.1	885623	887956	R	1
Gene:6530296057	AT1G03545.1	885941	887906	F	1
Gene:2020807	AT1G03560.1	890156	892410	R	1
Gene:1005715569	AT1G03570.1	892514	892585	F	1
Gene:504954129	AT1G03580.1	892847	894052	F	1
Gene:2020862	AT1G03590.1	894254	897518	R	1
Gene:2020787	AT1G03600.1	898876	899655	F	1
Gene:2020767	AT1G03610.1	900887	903003	F	1
Gene:2020752	AT1G03620.1	904319	906186	R	1
Gene:2020737	AT1G03630.1	907642	909376	F	1
Gene:1009021285	AT1G03630.2	907651	909376	F	1
Gene:1005715568	AT1G03640.1	909811	909883	R	1
Gene:2020717	AT1G03650.1	910023	911193	R	1
Gene:2020847	AT1G03660.1	911436	911759	R	1
Gene:2020832	AT1G03670.1	914222	916222	R	1
Gene:1005715570	AT1G03680.1	916819	918064	R	1
Gene:2825051	AT1G03687.1	918299	920507	F	1
Gene:1006229678	AT1G03687.2	918299	920488	F	1
Gene:2020772	AT1G03700.1	920950	921901	F	1
Gene:2020742	AT1G03710.1	923426	924726	F	1
Gene:4515100485	AT1G03710.2	923426	924355	F	1
Gene:2020777	AT1G03720.1	924996	926373	R	1
Gene:2020727	AT1G03730.1	930828	931895	R	1
Gene:2020707	AT1G03740.1	933512	937043	F	1
Gene:1009021296	AT1G03740.2	933512	937043	F	1
Gene:1005715564	AT1G03743.1	937207	937287	R	1
Gene:1005715559	AT1G03746.1	937401	937485	R	1
Gene:2024197	AT1G03750.1	937920	941162	F	1
Gene:2024187	AT1G03760.1	941062	943377	R	1
Gene:6530296058	AT1G03770.2	944572	947483	F	1
Gene:2024151	AT1G03770.1	944595	947482	F	1
Gene:6530296059	AT1G03770.3	944595	947483	F	1
Gene:6530296060	AT1G03780.3	947520	951827	R	1
Gene:1006229684	AT1G03780.2	947644	951810	R	1
Gene:2024131	AT1G03780.1	947658	951730	R	1
Gene:2024111	AT1G03790.1	954525	956097	F	1
Gene:2024248	AT1G03800.1	957261	957998	R	1
Gene:2024238	AT1G03810.1	958759	959609	F	1
Gene:2024213	AT1G03820.1	959869	960728	R	1
Gene:6530296061	AT1G03830.2	962016	966757	R	1
Gene:2024202	AT1G03830.1	962033	966622	R	1
Gene:2024192	AT1G03840.1	967503	970130	R	1
Gene:1009021295	AT1G03840.2	967521	970058	R	1
Gene:2024161	AT1G03850.1	976097	977761	R	1
Gene:1005715560	AT1G03850.2	977102	977761	R	1
Gene:2024141	AT1G03860.1	979308	981885	R	1
Gene:1006229685	AT1G03860.3	979308	981762	R	1
Gene:1006229686	AT1G03860.2	979308	981868	R	1
Gene:2024121	AT1G03870.1	982506	983540	R	1
Gene:2024233	AT1G03880.1	985751	988146	F	1
Gene:2024218	AT1G03890.1	989198	991020	F	1
Gene:2024207	AT1G03900.1	991139	993118	F	1
Gene:3688861	AT1G03905.1	993400	995784	F	1
Gene:2024181	AT1G03910.1	996115	1000231	F	1
Gene:6530296062	AT1G03910.2	996115	1000437	F	1
Gene:2024166	AT1G03920.1	1001321	1004383	F	1
Gene:2024146	AT1G03930.1	1004769	1008370	F	1
Gene:1005715558	AT1G03935.1	1008810	1008896	F	1
Gene:2024126	AT1G03940.1	1009542	1011056	R	1
Gene:2024106	AT1G03950.1	1011172	1013365	R	1
Gene:2024253	AT1G03960.1	1013715	1017929	F	1
Gene:1006229688	AT1G03960.2	1013715	1017929	F	1
Gene:2024223	AT1G03970.1	1018100	1019247	F	1
Gene:2024171	AT1G03980.1	1018570	1022108	R	1
Gene:1009021330	AT1G03982.1	1022251	1023719	R	1
Gene:2024156	AT1G03990.1	1024847	1027616	F	1
Gene:2024136	AT1G04000.1	1028106	1029119	R	1
Gene:2024116	AT1G04010.1	1031200	1036237	R	1
Gene:2024243	AT1G04020.1	1036537	1040224	F	1
Gene:1006229687	AT1G04020.2	1036537	1040224	F	1
Gene:2024176	AT1G04030.1	1040383	1042892	F	1
Gene:2024101	AT1G04040.1	1042362	1043864	R	1
Gene:2024228	AT1G04050.1	1045598	1049297	R	1
Gene:3433621	AT1G04070.1	1050553	1051186	R	1
Gene:6530296063	AT1G04080.3	1051312	1056827	F	1
Gene:3433617	AT1G04080.1	1051343	1056751	F	1
Gene:5019473861	AT1G04080.2	1053126	1056751	F	1
Gene:2020209	AT1G04090.1	1057151	1059419	F	1
Gene:2020254	AT1G04100.1	1059506	1061191	F	1
Gene:2020244	AT1G04110.1	1061457	1063784	R	1
Gene:6530296064	AT1G04120.2	1064450	1071047	R	1
Gene:2020234	AT1G04120.1	1064454	1070927	R	1
Gene:2020224	AT1G04130.1	1073427	1075568	F	1
Gene:2020284	AT1G04140.1	1075543	1080630	R	1
Gene:1005715579	AT1G04140.2	1075545	1080630	R	1
Gene:2020279	AT1G04150.1	1081208	1084246	R	1
Gene:2020269	AT1G04160.1	1086495	1096146	F	1
Gene:2020259	AT1G04170.1	1096946	1099898	F	1
Gene:4515100486	AT1G04171.1	1100444	1100608	R	1
Gene:2020249	AT1G04180.1	1104623	1105988	F	1
Gene:2020239	AT1G04190.1	1106428	1108715	R	1
Gene:2020229	AT1G04200.1	1109482	1114107	F	1
Gene:2020219	AT1G04210.1	1114405	1119739	F	1
Gene:2020214	AT1G04220.1	1119699	1122526	R	1
Gene:3433531	AT1G04230.1	1125518	1128168	F	1
Gene:2018378	AT1G04240.1	1128188	1129551	R	1
Gene:2018373	AT1G04250.1	1136258	1138613	F	1
Gene:2018358	AT1G04260.1	1140528	1141365	R	1
Gene:2018323	AT1G04270.1	1141604	1143053	R	1
Gene:1009021290	AT1G04270.2	1141604	1143051	R	1
Gene:2018303	AT1G04280.1	1143436	1146654	R	1
Gene:2018293	AT1G04290.1	1147523	1148533	R	1
Gene:4010711658	AT1G04295.1	1147781	1148435	F	1
Gene:6530296065	AT1G04300.4	1148597	1154596	R	1
Gene:2018278	AT1G04300.1	1148659	1154652	R	1
Gene:4010711659	AT1G04300.2	1148659	1154652	R	1
Gene:4010711660	AT1G04300.3	1148659	1154652	R	1
Gene:2018258	AT1G04310.1	1154764	1157711	R	1
Gene:1005715628	AT1G04320.1	1159023	1159093	F	1
Gene:2018248	AT1G04330.1	1161311	1161982	R	1
Gene:2018363	AT1G04340.1	1163097	1164851	R	1
Gene:2018348	AT1G04350.1	1165165	1166768	F	1
Gene:2018333	AT1G04360.1	1167457	1168878	R	1
Gene:2018288	AT1G04370.1	1175177	1175578	F	1
Gene:2018273	AT1G04380.1	1176921	1178407	R	1
Gene:2018263	AT1G04390.1	1179363	1183704	R	1
Gene:2018253	AT1G04400.1	1185550	1188517	R	1
Gene:1005715629	AT1G04400.2	1185556	1188276	R	1
